Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
0052;14123;JOYCE CARLA;PTB - PDT / PTB / PSL / PSC / PR / PMN / PSB / PSD / PROS;0;0,00 %
0053;10123;SARALVO OLIVEIRA;PRB - PRB / DEM / PEN / PPL;339;1,73 %
0054;51111;EGLINE MACHADO;PEN - PRB / DEM / PEN / PPL;244;1,24 %
0055;10222;IRMÃO FRANCISCO CABELEIREIRO;PRB - PRB / DEM / PEN / PPL;97;0,49 %
0056;10555;LOLA DA PIRUNGA;PRB - PRB / DEM / PEN / PPL;82;0,42 %
0057;10333;LENALDO;PRB - PRB / DEM / PEN / PPL;81;0,41 %
0058;10577;SERGINHO DO TAMANDUÁ;PRB - PRB / DEM / PEN / PPL;66;0,34 %
0059;54123;TARCISIO DA PIRUNGA;PPL - PRB / DEM / PEN / PPL;64;0,33 %
0060;10111;ELZE DA CADEIRA DE RODA;PRB - PRB / DEM / PEN / PPL;55;0,28 %
0061;54777;IRMÃO BRUNO;PPL - PRB / DEM / PEN / PPL;39;0,20 %
0062;10456;JONAS ALEMÃO;PRB - PRB / DEM / PEN / PPL;39;0,20 %
0063;10777;MEIRE DO TAMANDUA;PRB - PRB / DEM / PEN / PPL;34;0,17 %
0064;10999;MAGAL;PRB - PRB / DEM / PEN / PPL;28;0,14 %
0065;10000;VANIO DE LUIZ BARBEIRO;PRB - PRB / DEM / PEN / PPL;27;0,14 %
0066;16000;JOSEMIR;PSTU;24;0,12 %
0067;54111;KEKEU DO CHORA;PPL - PRB / DEM / PEN / PPL;19;0,10 %
0068;10444;ANGELA DO CONJUNTO;PRB - PRB / DEM / PEN / PPL;14;0,07 %
0069;10110;ROSIVALDO IRMÃO DE MEIRINHA;PRB - PRB / DEM / PEN / PPL;10;0,05 %
0070;10888;SIMONE DA PIRUNGA;PRB - PRB / DEM / PEN / PPL;9;0,05 %
0071;10124;PATRICIA FREITAS;PRB - PRB / DEM / PEN / PPL;5;0,03 %
0072;54444;ADRIANO FOTOGRAFO;PPL - PRB / DEM / PEN / PPL;4;0,02 %
